Board Number,Heuristic,Number Of Nodes Expanded,Cost,Branching Factor,Time
1,7,24678,-722,2.85,6.067406
1,5,216916,-698,2.67,22.808905
1,6,470,-733,5.63,3.156764
2,7,14683,-537,2.62,3.906549
2,5,106860,-522,2.72,13.557572
2,6,1170,-564,3.93,2.9331
3,7,98266,-1370,2.42,15.394287
3,5,440330,-1353,2.59,45.37289
3,6,2449,-1451,4.36,3.047878
4,7,64301,-1087,2.46,10.779984
4,5,403902,-1066,2.63,41.226739
4,6,4112,-1161,3.39,4.000554
5,7,36247,-917,2.75,8.528214
5,5,262259,-892,2.64,27.746166
5,6,1588,-1007,3.97,3.297418
6,7,73552,-1205,2.43,11.901459
6,5,515016,-1181,2.67,52.001973
6,6,12979,-1293,2.7,5.057801
7,7,21068,-1353,3.56,6.158727
7,5,618382,-1318,2.59,61.492845
7,6,1225,-1474,4.94,3.724895
8,7,7928,-438,2.69,3.318802
8,5,84754,-435,2.67,10.759463
8,6,974,-454,4.44,2.204067
9,7,40826,-788,2.54,7.897505
9,5,211464,-776,2.65,21.477537
9,6,2572,-831,3.63,3.220198
10,7,32212,-1167,3.36,9.854551
10,5,423957,-1137,2.64,49.104203
10,6,2742,-1264,3.7,5.070817
